278.457	61.7241	88.6358	37.9105	270.315	90.7576	277.294	66.0362	285.216	0.218138	94.7396
282.748	64.2796	88.2282	38.9632	280.314	73.6363	281.444	68.9639	289.963	0.223539	94.6704
286.806	67.8336	86.3873	40.8876	283.301	81.5911	285.532	71.9791	294.719	0.232246	93.4788
291.146	69.7999	86.3383	40.6358	291.97	66.7098	289.553	75.0815	299.396	0.235301	93.4328
295.126	73.1738	84.7862	42.6924	289.194	92.9956	293.507	78.271	304.062	0.24304	92.5685
299.443	74.7369	83.7514	41.7656	298.986	75.508	297.389	81.5471	308.628	0.24459	91.3726
303.364	77.9453	82.5337	42.9289	301.564	85.5468	301.197	84.9095	313.217	0.251497	90.6203
307.565	79.6935	82.0493	42.1652	308.363	76.4425	304.927	88.3573	317.722	0.253535	90.0025
311.757	81.3349	81.6642	41.4928	312.227	78.8768	308.578	91.89	322.192	0.255204	89.4938
315.417	84.9945	80.4633	43.8433	309.82	103.073	312.145	95.5067	326.668	0.263215	89.0994
319.314	87.4826	79.1498	44.18	316.731	95.4946	315.626	99.2062	331.081	0.267409	88.0105
323.232	89.7086	78.0863	43.9654	322.605	91.6281	319.017	102.988	335.45	0.270723	86.9998
326.929	92.4787	76.933	44.9779	322.928	104.076	322.317	106.849	339.757	0.275669	86.2709
330.646	95.0192	75.512	45.1723	328.554	101.307	325.521	110.79	344.028	0.279834	85.0511
334.451	97.1122	75.131	44.8472	334.617	96.3473	328.627	114.809	348.265	0.282592	84.6564
337.512	101.612	73.1087	47.9583	328.157	127.503	331.632	118.903	352.476	0.292431	83.8304
339.973	108.087	70.1121	52.651	327.231	142.877	334.532	123.071	356.741	0.307822	82.7689
343.313	111.076	68.6541	52.9359	337.033	127.797	337.325	127.312	360.835	0.312912	81.6156
346.838	113.199	67.5883	52.2604	343.396	121.783	340.008	131.622	364.843	0.315474	80.4674
349.898	116.666	65.8636	53.1832	344.239	131.705	342.579	135.999	368.835	0.321836	79.3042
352.477	121.406	63.7909	55.8973	340.015	151.951	345.033	140.443	372.799	0.331711	78.517
354.972	126.108	60.8419	57.8121	342.773	155.629	347.369	144.948	376.707	0.341356	76.6849
357.851	129.225	59.1015	58.2158	346.936	154.5	349.584	149.514	380.468	0.346542	75.3609
360.352	133.272	57.1492	59.668	349.341	158.881	351.675	154.137	384.207	0.354239	74.2983
362.382	138.445	54.256	61.9468	348.981	169.072	353.639	158.814	387.927	0.364929	72.791
363.902	144.841	51.6879	65.5634	350.473	175.385	355.475	163.543	391.668	0.3788	72.2694
366.315	148.375	49.7318	65.482	356.306	170.17	357.18	168.319	395.224	0.38485	70.6774
368.719	151.688	48.0499	65.1583	362.984	164.266	358.751	173.14	398.702	0.390289	69.2263
370.877	155.358	45.713	65.19	362.781	172.697	360.186	178.002	402.102	0.396688	67.3503
371.897	161.647	42.0903	68.4087	351.661	201.896	361.484	182.901	405.508	0.410021	65.8712
373.228	166.797	39.7301	70.7027	352.459	206.266	362.641	187.835	408.804	0.420276	65.1202
375.14	170.24	37.3801	70.2162	361.304	196.659	363.657	192.798	411.961	0.426012	63.0554
375.88	176.29	34.6969	73.1401	357.748	210.654	364.53	197.787	415.167	0.438547	62.4706
377.747	179.392	32.4816	71.6443	368.598	196.479	365.258	202.799	418.18	0.443365	60.0751
379.389	182.672	30.0308	70.6615	370.945	198.114	365.839	207.828	421.076	0.44873	57.7122
380.831	186.274	29.124	70.2739	379.914	188.145	366.272	212.871	423.946	0.45491	57.0392
381.901	190.46	27.0541	70.5853	373.813	205.468	366.556	217.923	426.759	0.462621	55.7122
382.732	194.852	24.3756	71.3355	368.082	220.21	366.691	222.98	429.477	0.470907	54.087
383.342	199.528	21.5109	71.2291	376.784	212.111	366.674	228.038	432.161	0.479909	51.9673
383.185	205.384	18.0557	73.3061	363.119	238.802	366.506	233.091	434.756	0.492025	50.5445
383.508	209.97	15.0667	73.4523	367.237	236.618	366.186	238.135	437.226	0.500921	48.4899
383.562	214.752	11.5253	73.4948	367.07	241.324	365.714	243.166	439.589	0.510405	45.9608
383.767	218.917	9.16135	73.6492	365.747	246.745	365.088	248.179	441.816	0.518403	44.4504
383.523	223.729	6.37481	73.9541	370.65	244.227	364.31	253.169	444.01	0.528088	42.7706
382.528	229.551	2.54272	75.9529	350.401	275.134	363.38	258.13	446.119	0.540485	41.262
381.375	235.42	-1.45747	76.665	362.088	264.215	362.297	263.06	448.184	0.553038	39.03
380.837	239.873	-4.42232	75.6555	369.144	257.345	361.062	267.952	450.084	0.562084	36.5787
379.735	244.941	-7.57124	76.3777	354.173	279.928	359.676	272.801	451.879	0.572874	35.0381
378.395	250.127	-11.1433	76.8009	351.527	286.064	358.141	277.603	453.592	0.584084	33.0548
377.622	254.141	-13.6984	75.3893	366.254	269.929	356.456	282.353	455.177	0.592377	30.728
377.51	256.854	-14.9966	73.0607	373.213	262.251	354.623	287.047	456.605	0.597444	28.7
375.458	262.317	-18.9818	73.6538	353.557	291.029	352.644	291.678	458.016	0.609825	26.6229
373.127	267.87	-22.9123	74.7486	341.093	307.055	350.521	296.243	459.323	0.622643	24.9797
370.659	273.38	-26.5188	75.5401	343.452	306.586	348.254	300.737	460.569	0.635486	23.4963
