L	351.654275	154.237527	3900000	351.674868	154.136953	40.563346	93.003422
L	353.560544	158.936234	3950000	353.639501	158.814152	38.010867	94.057506
L	355.600928	163.488491	4000000	355.475285	163.542511	35.409745	95.048538
L	357.305832	168.209032	4050000	357.179831	168.318814	32.761780	95.973912
L	359.024936	173.203039	4100000	358.750843	173.139713	30.068903	96.831082
L	360.121297	178.034380	4150000	360.186126	178.001737	27.333172	97.617564
L	361.659711	182.865033	4200000	361.483589	182.901288	24.556774	98.330945
L	362.428972	187.741436	4250000	362.641255	187.834654	21.742018	98.968891
L	363.695973	192.612474	4300000	363.657265	192.798005	18.891335	99.529152
L	364.342178	197.716248	4350000	364.529884	197.787403	16.007277	100.009566
L	365.409072	203.030276	4400000	365.257509	202.798803	13.092508	100.408074
L	365.838924	207.930886	4450000	365.838671	207.828058	10.149807	100.722716
L	366.237208	212.952362	4500000	366.272045	212.870930	7.182059	100.951646
L	366.619965	217.611640	4550000	366.556452	217.923086	4.192250	101.093134
L	366.579441	222.927284	4600000	366.690863	222.980115	1.183468	101.145571
L	366.740663	228.054225	4650000	366.674407	228.037524	-1.841111	101.107479
L	366.396440	233.114647	4700000	366.506377	233.090753	-4.878220	100.977511
L	366.350898	238.167075	4750000	366.186226	238.135175	-7.924515	100.754461
L	365.761143	243.012053	4800000	365.713580	243.166109	-10.976576	100.437267
L	365.156615	248.031653	4850000	365.088236	248.178822	-14.030914	100.025013
L	364.080008	253.181085	4900000	364.310169	253.168540	-17.083982	99.516940
L	363.425356	258.150711	4950000	363.379531	258.130456	-20.132178	98.912442
L	362.600891	263.028773	5000000	362.296656	263.059735	-23.171854	98.211074
L	361.303688	267.856889	5050000	361.062060	267.951525	-26.199328	97.412554
L	359.732775	272.770680	5100000	359.676447	272.800962	-29.210882	96.516767
L	358.350317	277.586373	5150000	358.140705	277.603184	-32.202782	95.523764
L	356.586324	282.460336	5200000	356.455910	282.353332	-35.171278	94.433768
